Timestamp,Arbitration_ID,DLC,Data,Class,SubClass
1597759320,356,8,00 00 00 80 16 00 00 00,Normal,Normal
1597759320,366,7,31 EA 0A 31 30 00 01,Normal,Normal
1597759320,367,8,00 00 00 00 00 00 C5 0A,Normal,Normal
1597759320,368,8,00 00 00 00 00 E4 0A 40,Normal,Normal
1597759320,260,8,05 31 02 30 00 BD 4F 16,Normal,Normal
1597759320,436,4,00 00 00 04,Normal,Normal
1597759320,329,8,84 C7 7E 8C 31 2C 00 10,Normal,Normal
1597759320,394,8,00 E0 08 00 FF 93 1F FC,Normal,Normal
1597759320,164,4,00 08 15 0F,Normal,Normal
1597759320,340,8,FC 03 00 E4 B7 21 FA 3C,Normal,Normal
1597759320,387,8,2A AD 5B 73 00 AA 05 00,Normal,Normal
1597759320,251,8,F6 03 E2 48 00 F8 07 80,Normal,Normal
1597759320,2B0,6,D1 FF 00 07 92 A6,Normal,Normal
1597759320,381,8,80 C8 3F 00 00 F2 11 05,Normal,Normal
1597759320,593,6,00 00 FF FF FF FF,Normal,Normal
1597759320,130,8,00 80 A4 80 00 00 0C 54,Normal,Normal
1597759320,140,8,18 80 00 6E 20 00 0C 46,Normal,Normal
1597759320,220,8,0E 44 80 00 00 FF 3F D9,Normal,Normal
1597759320,153,8,20 A1 10 FF 00 FF A0 6F,Normal,Normal
1597759320,507,4,08 00 00 01,Normal,Normal
1597759320,356,8,00 00 00 80 16 00 00 00,Normal,Normal
1597759320,366,7,31 EA 0A 31 30 00 01,Normal,Normal
1597759320,260,8,05 31 02 30 00 BD 4F 25,Normal,Normal
1597759320,368,8,00 00 00 00 00 EA 0A 40,Normal,Normal
1597759320,367,8,00 00 00 00 00 00 CB 0A,Normal,Normal
1597759320,38D,8,00 00 4D 00 A3 7F FE 10,Normal,Normal
1597759320,420,8,A0 1E 80 C8 FC 4F 6A 00,Normal,Normal
1597759320,421,8,FE 1F 00 FF E3 7F 00 A4,Normal,Normal
1597759320,389,8,00 00 00 30 00 00 94 00,Normal,Normal
1597759320,340,8,FC 03 00 E4 C7 21 B2 3C,Normal,Normal
1597759320,164,4,00 08 17 35,Normal,Normal
1597759320,391,8,00 00 00 00 00 00 0D 82,Normal,Normal
1597759320,251,8,F6 03 E3 04 00 F8 F7 7F,Normal,Normal
1597759320,2B0,6,D1 FF 00 07 83 76,Normal,Normal
1597759320,386,8,00 C0 00 C0 00 40 00 80,Normal,Normal
1597759320,453,5,00 88 8C 00 F6,Normal,Normal
1597759320,470,8,15 41 01 04 54 50 54 B1,Normal,Normal
1597759320,329,8,D6 C7 7E 8C 31 2C 00 10,Normal,Normal
1597759320,485,4,03 00 00 00,Normal,Normal
1597759320,490,8,00 00 08 21 00 60 3C E3,Normal,Normal
1597759320,492,8,40 FE 0F 00 00 00 00 4C,Normal,Normal
1597759320,4F1,4,20 00 60 D1,Normal,Normal
1597759320,568,8,00 00 00 8B 80 41 00 00,Normal,Normal
1597759320,130,8,F0 7F C4 80 00 00 0D B7,Normal,Normal
1597759320,140,8,00 80 00 6E 20 00 0D 30,Normal,Normal
1597759320,47F,8,04 D3 FF FF 00 7B 00 A1,Normal,Normal
1597759320,153,8,20 A1 10 FF 00 FF B0 7F,Normal,Normal
1597759320,220,8,13 24 80 00 00 FF 3F EC,Normal,Normal
1597759320,356,8,00 00 00 80 16 00 00 00,Normal,Normal
1597759320,366,7,31 EA 0A 31 30 00 01,Normal,Normal
1597759320,367,8,00 00 00 00 00 00 C8 0A,Normal,Normal
1597759320,368,8,00 00 00 00 00 EA 0A 40,Normal,Normal
1597759320,260,8,05 31 02 30 00 BD 4F 34,Normal,Normal
1597759320,329,8,D6 C7 7E 8C 31 2C 00 10,Normal,Normal
1597759320,394,8,00 00 08 00 FF 93 1D FC,Normal,Normal
1597759320,164,4,00 08 19 93,Normal,Normal
1597759320,340,8,FC 03 00 E4 D7 21 AA 3C,Normal,Normal
1597759320,387,8,2A AD 5B 73 00 AB 06 00,Normal,Normal
1597759320,251,8,F6 03 E4 0F 00 F8 F7 7F,Normal,Normal
1597759320,2B0,6,D1 FF 00 07 F4 7C,Normal,Normal
1597759320,381,8,80 C0 3F 00 00 F3 57 05,Normal,Normal
1597759320,48A,8,00 00 87 40 03 02 60 36,Normal,Normal
1597759320,58B,8,33 00 00 00 00 00 00 00,Normal,Normal
1597759320,130,8,F8 7F 9C 80 00 00 0E 44,Normal,Normal
1597759320,140,8,FC 7F 00 6E 20 00 0E 0C,Normal,Normal
1597759320,220,8,17 C4 7F 00 00 FF 3F F1,Normal,Normal
1597759320,153,8,20 A1 10 FF 00 FF C0 8F,Normal,Normal
1597759320,356,8,00 00 00 80 16 00 00 00,Normal,Normal
1597759320,366,7,31 F4 0A 31 30 00 01,Normal,Normal
1597759320,367,8,00 00 00 00 00 00 CA 0A,Normal,Normal
1597759320,368,8,00 00 00 00 00 EA 0A 40,Normal,Normal
1597759320,260,8,05 31 02 30 00 BD 4F 07,Normal,Normal
1597759320,453,5,00 88 8C 00 C6,Normal,Normal
1597759320,38D,8,00 00 4D 00 AB 7F FE 1C,Normal,Normal
1597759320,329,8,D6 C7 7E 8C 31 2C 00 10,Normal,Normal
1597759320,420,8,B0 1E 80 C8 FC 4F 6A 00,Normal,Normal
1597759320,164,4,00 08 1B A9,Normal,Normal
1597759320,340,8,FC 03 00 E4 E7 21 82 3C,Normal,Normal
1597759320,386,8,00 00 00 00 00 40 00 80,Normal,Normal
1597759320,391,8,00 00 00 00 00 00 0E A5,Normal,Normal
1597759320,251,8,F6 03 E5 43 00 F8 07 80,Normal,Normal
1597759320,2B0,6,D1 FF 00 07 E5 AC,Normal,Normal
1597759320,421,8,FE 1F 00 FF E3 7F 00 95,Normal,Normal
1597759320,389,8,00 00 00 30 00 00 85 00,Normal,Normal
1597759320,470,8,05 01 04 04 50 50 54 B5,Normal,Normal
1597759320,4F1,4,20 00 60 E1,Normal,Normal
1597759320,130,8,F0 7F 98 80 00 00 0F 3E,Normal,Normal
1597759320,140,8,14 80 00 6E 20 00 0F DA,Normal,Normal
1597759320,47F,8,04 D4 FF FF 00 7B 00 6E,Normal,Normal
1597759320,153,8,20 A1 10 FF 00 FF D0 9F,Normal,Normal
1597759320,220,8,12 C4 7F 00 00 FF 3F 0A,Normal,Normal
1597759320,356,8,00 00 00 80 16 00 00 00,Normal,Normal
1597759320,366,7,31 F4 0A 31 30 00 01,Normal,Normal
1597759320,367,8,00 00 00 00 00 00 C9 0A,Normal,Normal
1597759320,368,8,00 00 00 00 00 F4 0A 40,Normal,Normal
1597759320,260,8,05 31 02 30 00 BD 4F 16,Normal,Normal
1597759320,479,8,4C 00 00 00 00 00 00 00,Normal,Normal
1597759320,329,8,D6 C7 7E 8C 31 2C 00 10,Normal,Normal
1597759320,394,8,00 20 08 00 FF 93 1B FC,Normal,Normal
1597759320,164,4,00 08 1D E7,Normal,Normal
1597759320,340,8,FC 03 00 E4 F7 21 9A 3C,Normal,Normal
1597759320,387,8,2A AD 5B 73 00 AC 07 00,Normal,Normal
1597759320,251,8,F6 03 E6 DB 00 F8 F7 7F,Normal,Normal
1597759320,2B0,6,D1 FF 00 07 D6 C1,Normal,Normal
1597759320,381,8,80 C0 3F 00 00 F4 AE 05,Normal,Normal
1597759320,484,8,2C 01 02 00 00 00 FC 3E,Normal,Normal
1597759320,130,8,FC 7F B4 80 00 00 00 3D,Normal,Normal
1597759320,140,8,0C 80 00 6E 20 00 00 0A,Normal,Normal
1597759320,153,8,20 A1 10 FF 00 FF E0 AF,Normal,Normal
1597759320,220,8,11 24 80 00 00 FF 3F 1A,Normal,Normal
1597759320,356,8,00 00 00 80 16 00 00 00,Normal,Normal
